"EmployeeID","FirstName","LastName","Department","JobTitle","Country","Manager","LeavingDate","Reason","LastWorkingDay","TerminationType","ForwardingManager","ArchiveMailbox","RetentionDays"
"MI-0011","Isabella","Martinez","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0018","Emma","Wilson","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0015","Amelia","Hall","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0024","Steve","Johnson","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0017","James","White","Security Operations","SOC Manager","Nigeria","","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0023","Olivia","James","HR","HR Specialist","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0021","Michael","Brown","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0020","John","Doe","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0013","Charlotte","Lee","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0019","William","Smith","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
"MI-0022","Emily","Jones","Engineering","Software Engineer","Nigeria","MI-0006","2026-08-05","Resignation","2026-08-05","Voluntary","MI-0006","Yes","30"
