"EmployeeID","UserPrincipalName","Status"
"MI-0020","john.doe@daveshub.onmicrosoft.com","Updated"
"MI-0019","william.smith@daveshub.onmicrosoft.com","Already Assigned"
"MI-0018","emma.wilson@daveshub.onmicrosoft.com","Already Assigned"
"MI-0017","james.white@daveshub.onmicrosoft.com","Already Assigned"
"MI-0016","olivia.johnson@daveshub.onmicrosoft.com","Already Assigned"
"MI-0015","amelia.hall@daveshub.onmicrosoft.com","Already Assigned"
"MI-0013","charlotte.lee@daveshub.onmicrosoft.com","Already Assigned"
"MI-0014","henry.walker@daveshub.onmicrosoft.com","Already Assigned"
"MI-0012","liam.anderson@daveshub.onmicrosoft.com","Already Assigned"
"MI-0011","isabella.martinez@daveshub.onmicrosoft.com","Already Assigned"
"MI-0001","sarah.johnson@daveshub.onmicrosoft.com","Already Assigned"
"MI-0002","david.wilson@daveshub.onmicrosoft.com","Already Assigned"
"MI-0003","emily.brown@daveshub.onmicrosoft.com","Already Assigned"
"MI-0004","michael.scott@daveshub.onmicrosoft.com","Already Assigned"
"MI-0005","olivia.smith@daveshub.onmicrosoft.com","User Not Found"
"MI-0006","daniel.moore@daveshub.onmicrosoft.com","User Not Found"
"MI-0007","grace.taylor@daveshub.onmicrosoft.com","User Not Found"
"MI-0008","john.davis@daveshub.onmicrosoft.com","User Not Found"
"MI-0009","sophia.clark@daveshub.onmicrosoft.com","User Not Found"
"MI-0010","james.white@daveshub.onmicrosoft.com","Already Assigned"
