"Timestamp","EmployeeID","DisplayName","UserPrincipalName","Department","Country","Status","DepartmentGroup","CompanyGroup","AdministrativeUnit","AUAssigned","ManagerAssigned","Manager","Reason","ObjectId","TemporaryPassword"
"7/20/2026 10:01:16 PM","MI-0019","William Smith","william.smith@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:17 PM","MI-0018","Emma Wilson","emma.wilson@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:18 PM","MI-0017","James White","james.white@daveshub.onmicrosoft.com","Security Operations","Nigeria","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:18 PM","MI-0016","Olivia Johnson","olivia.johnson@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:18 PM","MI-0015","Amelia Hall","amelia.hall@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:19 PM","MI-0013","Charlotte Lee","charlotte.lee@daveshub.onmicrosoft.com","Engineering","United Kingdom","Created","SG-Engineering","All Company","MI-UnitedKingdom","True","@{Success=True; Manager=james.carter@daveshub.onmicrosoft.com}","james.carter@daveshub.onmicrosoft.com",,"864ac810-f1e1-4326-aa92-bdff8ff25420","P@ssword123!"
"7/20/2026 10:01:24 PM","MI-0014","Henry Walker","henry.walker@daveshub.onmicrosoft.com","Engineering","Canada","Created","SG-Engineering","All Company","MI-Canada","True","@{Success=True; Manager=james.carter@daveshub.onmicrosoft.com}","james.carter@daveshub.onmicrosoft.com",,"39eb3bc0-f914-4930-aad3-dd501c2a291d","P@ssword123!"
"7/20/2026 10:01:27 PM","MI-0012","Liam Anderson","liam.anderson@daveshub.onmicrosoft.com","Engineering","United Kingdom","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:27 PM","MI-0011","Isabella Martinez","isabella.martinez@daveshub.onmicrosoft.com","Engineering","Canada","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
"7/20/2026 10:01:28 PM","MI-0001","Sarah Johnson","sarah.johnson@daveshub.onmicrosoft.com","HR","Nigeria","Skipped","","","","False","False","","User already exists",,"P@ssword123!"
